"name_name","name_picture","name_picture_url","name_address","name_level"
"三里屯","https://dimg06.c-ctrip.com/images/100w1f000001gwak21BD3_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/140217.html","北京市朝阳区三里屯北路东侧",""
"毛主席纪念堂","https://dimg03.c-ctrip.com/images/100t12000000rqu9a4275_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/54291.html","东城区前门东大街11号",""
"西单","https://dimg04.c-ctrip.com/images/100p1f000001gpd5bE6A1_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/139727.html","北京市西城区",""
"孔庙","https://dimg06.c-ctrip.com/images/fd/tg/g6/M06/08/40/CggYtFbT-kyAccwTACTrbSJmZ-M990_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/139681.html","北京市东城区国子监街15号","AAAA级景区"
"烟袋斜街","https://dimg08.c-ctrip.com/images/10011f000001h35ckE9BA_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/65334.html","西城区",""
"龙庆峡","https://dimg02.c-ctrip.com/images/100a0f0000007jo9d5D67_C_220_140.jpg","https://you.ctrip.com/sight/yanqing770/242.html","北京市延庆区旧县镇古城水库","AAAA级景区"
"正阳门","https://dimg05.c-ctrip.com/images/100d1f000001gos5o9738_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/46758.html","北京市东城区前门大街甲2号",""
"红螺寺","https://dimg05.c-ctrip.com/images/01005120008hcjxzeBC7A_C_220_140.jpg","https://you.ctrip.com/sight/huairou120418/5162.html","北京市怀柔区怀柔镇卢庄村北红螺东路2号","AAAA级景区"
"司马台长城","https://dimg07.c-ctrip.com/images/100t1f000001gqc8v0398_C_220_140.jpg","https://you.ctrip.com/sight/miyun768/10404.html","北京市密云区古北口镇司马台村北","AAAA级景区"
"人民英雄纪念碑","https://dimg04.c-ctrip.com/images/10071f000001h6yb7A091_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/54294.html","北京市东城区天安门广场中央",""
"昆明湖","https://dimg05.c-ctrip.com/images/fd/tg/g1/M07/77/F9/CghzfFWwlomAAgJ1AHz6LB0EQWM693_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/107735.html","北京市海淀区新建宫门路19号颐和园内",""
"水立方（国家游泳中心）","https://dimg07.c-ctrip.com/images/fd/tg/g4/M04/0D/80/CggYHFYBJDqABKDFABX7KFIXiDs008_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/52627.html","北京市朝阳区北辰路奥林匹克公园内",""
"佛香阁","https://dimg06.c-ctrip.com/images/fd/tg/g2/M04/AA/A5/Cghzf1WnGBWAdNdAACqbwM-NWds870_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/132944.html","北京市海淀区新建宫门路19号颐和园内",""
"雁栖湖","https://dimg02.c-ctrip.com/images/10021f000001gxcft163D_C_220_140.jpg","https://you.ctrip.com/sight/huairou120418/5315.html","怀柔区怀北镇雁水路3号","AAAA级景区"
"居庸关长城","https://dimg07.c-ctrip.com/images/0102a120004fhqcagB7E5_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/5316.html","北京市昌平区南口镇居庸关村","AAAA级景区"
"798艺术区","https://dimg06.c-ctrip.com/images/100g1f000001gqzfv7659_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/64948.html","北京市朝阳区酒仙桥路2号",""
"北京大观园","https://dimg08.c-ctrip.com/images/0101h1200084mpzze216A_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/238.html","西城区南菜园街12号","AAA级景区"
"十七孔桥","https://dimg01.c-ctrip.com/images/100v1f000001h1azeFE2F_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/133014.html","北京市海淀区颐和园内昆明湖路",""
"北京植物园","https://dimg03.c-ctrip.com/images/10071f000001h6x0q26BF_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/5217.html","海淀区香山卧佛寺路北京植物园","AAAA级景区"
